user_id,phone_number,sim_swap_request_count_30d,days_since_last_sim_swap,device_change_flag,location_change_flag,failed_otp_attempts_24h,account_age_days,avg_monthly_call_duration,avg_monthly_data_usage_gb,num_unique_contacts_30d,recent_password_change_flag,fraud_report_flag,sim_swap_label
U20001,94701002001,0,720,0,0,0,1450,420,12.5,45,0,0,0
U20002,94701002002,3,1,1,1,6,120,15,0.8,4,1,1,1
U20003,94701002003,0,1100,0,0,1,2100,600,25.2,88,0,0,0
U20004,94701002004,0,450,0,0,0,890,310,8.4,22,0,0,0
U20005,94701002005,2,4,1,1,4,45,5,1.2,2,1,0,1
U20006,94701002006,0,1500,0,0,0,2800,900,45.0,110,0,0,0
U20007,94701002007,1,300,0,0,1,120,200,5.5,15,0,0,0
U20008,94701002008,0,800,0,1,0,1340,440,14.2,36,0,0,0
U20009,94701002009,4,0,1,1,8,12,2,0.1,1,1,1,1
U20010,94701002010,0,999,0,0,0,1560,510,18.9,54,0,0,0
U20011,94701002011,0,120,0,0,1,430,220,4.2,12,0,0,0
U20012,94701002012,3,2,1,1,7,88,12,0.5,3,0,1,1
U20013,94701002013,0,1800,0,0,0,3200,1100,60.5,150,0,0,0
U20014,94701002014,0,560,0,0,0,940,380,10.1,28,0,0,0
U20015,94701002015,1,15,1,1,5,210,45,2.3,8,1,0,1
U20016,94701002016,0,770,0,0,1,1420,490,16.4,41,0,0,0
U20017,94701002017,0,1200,0,0,0,2300,750,30.2,95,0,0,0
U20018,94701002018,2,3,1,0,4,15,8,0.4,2,0,0,1
U20019,94701002019,0,900,0,0,0,1850,620,22.1,72,0,0,0
U20020,94701002020,0,440,1,0,0,670,290,7.8,20,0,0,0
U20021,94701002021,5,1,1,1,10,5,1,0.0,0,1,1,1
U20022,94701002022,0,1100,0,0,0,2150,810,35.7,115,0,0,0
U20023,94701002023,0,250,0,0,1,380,180,3.9,10,0,0,0
U20024,94701002024,2,7,1,1,3,140,25,1.5,5,1,0,1
U20025,94701002025,0,1400,0,0,0,2700,950,48.2,130,0,0,0
U20026,94701002026,0,620,0,0,0,1100,430,12.8,32,0,0,0
U20027,94701002027,3,2,1,1,6,30,10,0.7,2,1,0,1
U20028,94701002028,0,850,0,0,1,1520,540,19.5,60,0,0,0
U20029,94701002029,0,1300,0,0,0,2400,780,33.4,105,0,0,0
U20030,94701002030,4,1,1,1,9,40,4,0.2,1,0,1,1
U20031,94701002031,0,1000,0,0,0,1900,680,26.7,80,0,0,0
U20032,94701002032,0,320,0,0,0,580,240,6.2,18,0,0,0
U20033,94701002033,2,5,1,0,5,200,30,2.1,6,1,0,1
U20034,94701002034,0,1600,0,0,0,2900,1050,55.0,140,0,0,0
U20035,94701002035,0,500,0,1,1,850,330,9.2,25,0,0,0
U20036,94701002036,3,2,1,1,7,12,3,0.1,1,1,1,1
U20037,94701002037,0,1150,0,0,0,2200,850,38.4,120,0,0,0
