user_id,phone_number,imei_prefix,phone_model,timestamp,current_city,current_area,current_location_lat,current_location_lon,cell_tower_id,cell_tower_lat,cell_tower_lon,previous_city,previous_area,previous_location_lat,previous_location_lon,prev_cell_tower_id,prev_cell_tower_lat,prev_cell_tower_lon,last_sim_usage_timestamp,last_device_usage_timestamp,sim_change_flag,device_change_flag,time_since_last_sim_change,num_calls_last_24h,num_sms_last_24h,data_usage_last_24h,change_in_data_usage,login_attempts,num_failed_logins_last_24h,transaction_count,account_activity_flag,is_roaming,distance_change_km,change_in_cell_tower_id,risk_score,label,is_sim_swap,alert_type
DEMOUSER_6000,+94703765756,59746325,iPhone 15 Pro,2026-02-12 13:58:15,Batticaloa,Area_19,6.163533,79.719701,ANU_MI_7422,6.795587,81.062608,Matara,Area_12,6.567683,81.750445,GAL_AM_7783,6.918692,80.169306,2026-02-11 09:58:15,2026-02-11 17:58:15,1,1,6,74,138,5.35,4.74,13,10,17,1,0,316.54,1,94.96,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6001,+94721145462,95160498,iPhone 13,2026-01-30 13:58:15,Matara,Area_3,8.930561,80.153821,RAT_PE_1407,6.945702,81.458708,Jaffna,Area_6,6.2372,79.573403,COL_DE_6421,8.692699,81.232547,2026-01-29 12:58:15,2026-01-29 23:58:15,1,1,37,50,75,2.02,-0.97,13,11,19,1,1,382.22,1,81.78,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6002,+94712185963,12871703,iPhone 14,2026-02-21 13:58:15,Colombo,Area_8,7.261984,80.569084,GAL_HI_9148,9.84908,80.305036,Negombo,Area_11,8.191733,81.352366,COL_BA_9709,7.59365,81.894647,2026-02-20 17:58:15,2026-02-19 00:58:15,0,0,3,18,34,1.48,3.16,6,2,8,0,1,32.48,0,9.42,0,0,NORMAL_BEHAVIOR
DEMOUSER_6003,+94708306217,42803536,Xiaomi 13,2026-02-16 13:58:15,Matara,Area_3,8.360599,81.242016,COL_DE_4568,7.530592,81.23994,Colombo,Area_2,7.893526,81.278905,KAN_GA_5648,8.091492,79.64317,2026-02-16 04:58:15,2026-02-14 17:58:15,1,0,24,49,120,5.66,-1.21,28,12,0,0,0,359.66,0,66.11,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6004,+94761305589,70166914,iPhone 13,2026-02-18 13:58:15,Batticaloa,Area_18,7.20743,81.459338,BAT_OD_7295,6.151038,80.623159,Jaffna,Area_17,8.546996,81.422051,BAD_BA_1129,6.258124,79.978508,2026-02-16 15:58:15,2026-02-16 03:58:15,0,0,30,10,33,1.04,4.72,8,0,2,0,1,36.96,0,7.07,0,0,NORMAL_BEHAVIOR
DEMOUSER_6005,+94704482306,11536591,Samsung Galaxy S22,2026-02-17 13:58:15,Negombo,Area_5,8.484745,80.774764,BAD_HA_8698,9.633341,80.238641,Matara,Area_8,6.446365,81.587744,KAN_AK_1221,8.585388,81.2163,2026-02-16 06:58:15,2026-02-16 18:58:15,1,0,14,67,105,2.54,4.85,23,13,10,0,0,400.22,1,87.07,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6006,+94721857005,53498299,Huawei P50,2026-02-25 13:58:15,Kurunegala,Area_18,6.73112,80.566496,JAF_CH_9209,6.259061,81.18995,Negombo,Area_13,8.833635,81.596385,KAN_PE_7410,7.485105,81.82677,2026-02-24 23:58:15,2026-02-22 16:58:15,0,0,17,5,19,0.81,0.48,8,1,17,0,1,22.81,0,15.31,0,0,NORMAL_BEHAVIOR
DEMOUSER_6007,+94753996630,69429673,Xiaomi Poco X4,2026-02-11 13:58:15,Colombo,Area_6,7.88413,80.642287,GAL_HI_4022,9.752545,80.752935,Colombo,Area_19,6.293763,80.359955,JAF_CH_4061,8.99658,81.783146,2026-02-10 10:58:15,2026-02-10 23:58:15,0,0,24,14,1,1.16,0.3,3,1,9,1,0,17.12,0,8.49,0,0,NORMAL_BEHAVIOR
DEMOUSER_6008,+94707830659,43916944,Huawei Nova 10,2026-02-26 13:58:15,Kandy,Area_20,7.078522,81.381476,GAL_HI_3384,6.005031,79.52703,Matara,Area_13,6.867958,80.779736,RAT_EM_1712,7.116983,79.804591,2026-02-25 03:58:15,2026-02-25 04:58:15,0,0,41,9,40,1.64,-0.84,3,3,10,0,0,25.28,0,22.46,0,0,NORMAL_BEHAVIOR
DEMOUSER_6009,+94720712805,64174215,iPhone 13,2026-02-05 13:58:15,Batticaloa,Area_7,6.909504,80.847849,COL_KI_5504,9.661454,81.795027,Matara,Area_19,9.316189,80.135416,RAT_EM_2311,7.435957,79.777893,2026-02-03 20:58:15,2026-02-03 23:58:15,1,0,29,36,62,6.62,0.52,10,9,15,1,1,392.58,0,89.84,1,1,HIGH_RISK_SIM_SWAP
